tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,3149414,99.75,2034680,99.74,3149414
8,25523496,97.92,1364540,97.92,25195312
16,50910387,95.86,833837,95.86,50390624
24,76328700,93.80,729868,93.79,75585936
32,101520183,91.74,615243,91.74,100781248
40,126941792,89.69,591448,89.69,125976560
48,152202383,87.64,633823,87.64,151171872
56,177014305,85.61,596108,85.60,176367184
64,202495865,83.58,566548,83.56,201562496
72,228096547,81.55,584040,81.52,226757808
80,252892392,79.54,640262,79.50,251953120
88,277805001,77.52,576770,77.46,277148432
96,303280460,75.51,534922,75.43,302343744
104,327710058,73.58,411163,73.47,327539056
112,352704369,71.60,458769,71.44,352734368
120,376948694,69.62,393054,69.41,377929680
128,402578969,67.67,398070,67.42,403124992
136,428288458,65.71,419150,65.41,428320304
144,452627857,63.77,410088,63.41,453515616
152,476923484,61.83,409417,61.42,478710928
160,502323404,59.90,400030,59.43,503906240
168,527780552,57.99,404192,57.44,529101552
176,552432120,56.09,392688,55.46,554296864
184,576693406,54.17,404255,53.50,579492176
192,603370898,52.27,393621,51.53,604687488
200,616687566,50.40,394279,49.59,629882800
208,629543022,48.57,368859,47.62,655078112
216,646508960,46.70,359745,45.66,680273424
224,660504080,44.85,381526,43.69,705468736
232,683548756,43.01,391232,41.76,730664048
240,696104238,41.17,379846,39.82,755859360
248,714327907,39.35,395967,37.88,781054672
256,731508571,37.55,390479,35.91,806249984
264,741956749,35.74,385255,33.95,831445296
272,764477034,33.93,404704,32.04,856640608
280,775708400,32.19,405974,30.10,881835920
288,792208137,30.40,385652,28.15,907031232
296,809997538,28.67,396130,26.40,932226544
304,820610211,26.99,387523,24.50,957421856
312,841362494,25.25,402782,22.62,982617168
320,856149465,23.55,367011,20.73,1007812480
328,870288556,21.90,366586,18.80,1033007792
336,887325514,20.20,366150,16.99,1058203104
344,903595744,18.57,348676,15.18,1083398416
352,917941930,16.90,379086,13.33,1108593728
360,938800028,15.27,386714,11.35,1133789040
368,951691241,13.63,356601,9.55,1158984352
376,966653450,11.97,352557,7.63,1184179664
384,979613715,10.37,350050,6.22,1209374976
