tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,4927087,99.74,4813358,99.74,4927087
8,39573810,97.92,3766482,97.92,39416696
16,79116535,95.85,2138409,95.86,78833392
24,118690414,93.80,1903842,93.79,118250088
32,157852366,91.74,1558966,91.74,157666784
40,197953332,89.69,1249063,89.78,197083480
48,237660608,87.65,1227534,87.72,236500176
56,277310992,85.60,1205104,85.60,275916872
64,315260749,83.58,1180373,83.54,315333568
72,355838896,81.55,908226,81.56,354750264
80,394931616,79.53,895548,79.56,394166960
88,434727103,77.53,915204,77.58,433583656
96,474253886,75.51,920810,75.57,473000352
104,514131729,73.58,806107,73.65,512417048
112,552550470,71.60,764990,71.65,551833744
120,593040317,69.62,733234,69.60,591250440
128,632872438,67.67,750245,67.67,630667136
136,672163948,65.71,693501,65.68,670083832
144,711256380,63.75,706166,63.83,709500528
152,750932822,61.83,713851,61.90,748917224
160,790447050,59.89,659926,59.94,788333920
168,830233212,57.98,644008,57.96,827750616
176,870027681,56.08,660504,55.79,867167312
184,908407666,54.17,652088,54.41,906584008
192,948527751,52.28,650489,52.10,946000704
200,965333424,50.41,679504,50.37,985417400
208,982646344,48.57,660889,48.47,1024834096
216,999415349,46.72,658187,46.49,1064250792
224,1015762351,44.86,647289,44.58,1103667488
232,1032307024,43.00,661468,42.45,1143084184
240,1050031754,41.19,657237,40.55,1182500880
248,1067670907,39.37,664681,38.37,1221917576
256,1083698788,37.57,670743,36.18,1261334272
264,1100726304,35.75,699430,35.16,1300750968
272,1115364334,33.96,672752,33.96,1340167664
280,1132929970,32.21,641634,32.05,1379584360
288,1150210127,30.42,663224,29.73,1419001056
296,1168108686,28.67,689916,27.41,1458417752
304,1184549584,26.99,710549,25.69,1497834448
312,1203301710,25.26,711346,23.71,1537251144
320,1219550503,23.57,648713,21.99,1576667840
328,1236173097,21.88,648286,20.85,1616084536
336,1255525144,20.23,672434,18.92,1655501232
344,1274096886,18.75,684676,16.96,1694917928
352,1289950874,16.87,657263,14.92,1734334624
360,1307786702,15.24,670721,13.41,1773751320
368,1325120753,13.64,684130,10.45,1813168016
376,1345758991,12.00,655781,9.02,1852584712
384,1358506016,10.38,656338,8.24,1892001408
