tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,9898601,99.74,9887933,99.74,9898601
8,78852594,97.92,78705294,97.92,79188808
16,157509548,95.85,157098130,95.86,158377616
24,236285560,93.80,236168546,93.79,237566424
32,315191028,91.74,314194533,91.73,316755232
40,392877369,89.68,391987659,89.68,395944040
48,469367572,87.65,469069696,87.63,475132848
56,549749744,85.61,549504250,85.57,554321656
64,628649103,83.58,628013380,83.54,633510464
72,707121108,81.55,706542943,81.50,712699272
80,785048184,79.53,784484881,79.46,791888080
88,864153813,77.53,863765613,77.43,871076888
96,942164801,75.51,941781179,75.39,950265696
104,1020671806,73.57,1019057077,73.43,1029454504
112,1098664617,71.60,1097248582,71.41,1108643312
120,1176717867,69.63,1176527299,69.40,1187832120
128,1255287960,67.68,1254895914,67.40,1267020928
136,1332967055,65.71,1327323221,65.40,1346209736
144,1411719504,63.76,1410539985,63.40,1425398544
152,1489809794,61.83,1488722145,61.40,1504587352
160,1568206373,59.91,1566854455,59.42,1583776160
168,1647026598,57.97,1644252439,57.43,1662964968
176,1724080473,56.07,1722827282,55.45,1742153776
184,1800192632,54.18,1799129549,53.46,1821342584
192,1879705264,52.28,1878508005,51.50,1900531392
200,1916702380,50.41,1914782371,49.53,1979720200
208,1952729045,48.57,1952433314,47.58,2058909008
216,1992650303,46.71,1990628178,45.60,2138097816
224,2027729730,44.87,2025690965,43.66,2217286624
232,2066631799,43.01,2064926873,41.70,2296475432
240,2102049814,41.20,2101535743,39.74,2375664240
248,2140315978,39.36,2137459499,37.79,2454853048
256,2178196605,37.54,2173528222,35.86,2534041856
264,2212672137,35.75,2211799219,33.90,2613230664
272,2250066999,33.96,2248467754,31.97,2692419472
280,2287055977,32.19,2285588688,30.05,2771608280
288,2323125959,30.43,2320197827,28.11,2850797088
296,2361824900,28.68,2359753873,26.32,2929985896
304,2398175117,27.15,2396365063,24.39,3009174704
312,2434710272,25.25,2432199693,22.50,3088363512
320,2473116733,23.63,2467855639,20.62,3167552320
328,2509024986,21.93,2505817236,18.66,3246741128
336,2546443961,20.21,2543881557,16.81,3325929936
344,2581621876,18.54,2580748038,14.89,3405118744
352,2620168199,16.91,2618047213,12.99,3484307552
360,2658208232,15.24,2654824401,11.11,3563496360
368,2694556689,13.67,2690997255,9.23,3642685168
376,2733006642,12.03,2729293161,7.36,3721873976
384,2769508758,10.42,2765492883,5.46,3801062784
