tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,13503367,99.74,13435648,99.74,13503367
8,107485253,97.92,107271095,97.92,108026936
16,215278453,95.86,212596269,95.86,216053872
24,322866501,93.80,319092251,93.79,324080808
32,430182265,91.73,426132857,91.73,432107744
40,536420389,89.69,531076205,89.68,540134680
48,643955225,87.65,638028907,87.62,648161616
56,752968874,85.61,745325431,85.58,756188552
64,860544717,83.58,853184235,83.54,864215488
72,967713060,81.55,960535978,81.49,972242424
80,1075821939,79.54,1066929153,79.46,1080269360
88,1183281408,77.53,1173685628,77.43,1188296296
96,1287904841,75.50,1278761342,75.40,1296323232
104,1390407720,73.58,1386505005,73.43,1404350168
112,1503054752,71.60,1493053387,71.41,1512377104
120,1610303583,69.62,1598405646,69.40,1620404040
128,1719359393,67.67,1707217000,67.40,1728430976
136,1824803542,65.71,1807728276,65.39,1836457912
144,1928684348,63.76,1918207813,63.40,1944484848
152,2035783014,61.83,2021750186,61.40,2052511784
160,2140453809,59.89,2124102477,59.42,2160538720
168,2240877359,57.97,2226405011,57.43,2268565656
176,2349428566,56.06,2336074754,55.43,2376592592
184,2455891044,54.17,2437230852,53.47,2484619528
192,2558186050,52.28,2547013416,51.50,2592646464
200,2611799970,50.41,2599620174,49.54,2700673400
208,2657576165,48.57,2635754722,47.58,2808700336
216,2703149672,46.73,2687596767,45.61,2916727272
224,2752695081,44.86,2738102085,43.66,3024754208
232,2805829131,43.03,2788286605,41.70,3132781144
240,2853000648,41.18,2833464698,39.74,3240808080
248,2902288096,39.36,2882337208,37.79,3348835016
256,2948813596,37.57,2933169529,35.86,3456861952
264,2999046695,35.76,2976683346,33.92,3564888888
272,3043392611,33.97,3028268158,31.97,3672915824
280,3096758602,32.19,3074386060,30.05,3780942760
288,3140459969,30.41,3119096561,28.11,3888969696
296,3192748902,28.72,3166249763,26.34,3996996632
304,3238244591,27.12,3214828133,24.40,4105023568
312,3282454752,25.27,3257515231,22.49,4213050504
320,3306444380,23.58,3314457789,20.60,4321077440
328,3382000685,21.92,3352823918,18.67,4429104376
336,3423165026,20.20,3403927010,16.80,4537131312
344,3477486846,18.57,3452849138,14.89,4645158248
352,3525059883,16.90,3500067081,13.01,4753185184
360,3571345807,15.26,3549960850,11.10,4861212120
368,3613532329,13.64,3587376429,9.23,4969239056
376,3661398751,12.03,3639141626,7.33,5077265992
384,3708081147,10.40,3675536001,5.46,5185292928
