tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,722651,99.73,698863,99.74,722651
8,5765574,97.92,563939,97.93,5781208
16,11542667,95.86,284108,95.85,11562416
24,17211133,93.80,290112,93.80,17343624
32,23078460,91.74,262926,91.74,23124832
40,28880637,89.69,262852,89.68,28906040
48,34405407,87.65,272958,87.63,34687248
56,40372985,85.61,248354,85.59,40468456
64,46185725,83.57,249555,83.55,46249664
72,51779049,81.55,233883,81.50,52030872
80,57603030,79.54,247260,79.47,57812080
88,63325495,77.52,239068,77.45,63593288
96,69044709,75.51,236533,75.40,69374496
104,74700931,73.57,229013,73.43,75155704
112,80601418,71.60,192369,71.41,80936912
120,86479772,69.63,196465,69.41,86718120
128,92018179,67.66,178877,67.42,92499328
136,97860433,65.72,185844,65.41,98280536
144,103493941,63.76,178309,63.41,104061744
152,109359795,61.82,175709,61.44,109842952
160,115008485,59.90,179049,59.43,115624160
168,120565257,57.98,164843,57.43,121405368
176,126546653,56.08,163555,55.48,127186576
184,132173675,54.17,158169,53.54,132967784
192,137666941,52.27,164084,51.52,138748992
200,141499372,50.39,161002,49.60,144530200
208,144982729,48.54,166666,47.61,150311408
216,148573709,46.69,161908,45.65,156092616
224,151962143,44.84,161555,43.72,161873824
232,155593711,43.00,155588,41.75,167655032
240,158984784,41.17,156476,39.85,173436240
248,162415037,39.35,160563,37.87,179217448
256,165589176,37.53,162231,35.92,184998656
264,169429854,35.74,164829,34.02,190779864
272,173022566,33.94,160940,31.99,196561072
280,176496768,32.14,160122,30.21,202342280
288,179888508,30.41,155130,28.19,208123488
296,183243555,28.68,151548,26.39,213904696
304,186777774,26.96,158583,24.46,219685904
312,190096176,25.27,154558,22.63,225467112
320,193871230,23.56,161235,20.75,231248320
328,180888523,21.89,155613,18.77,237029528
336,184096631,20.18,156719,17.07,242810736
344,187206966,18.54,156830,15.15,248591944
352,190601969,16.91,157533,13.69,254373152
360,193630735,15.28,154693,11.82,260154360
368,197140074,13.66,158082,9.56,265935568
376,200319419,11.98,156019,7.95,271716776
384,203625132,10.41,167028,5.77,277497984
