tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,674700,99.74,677758,99.74,677758
8,4001930,97.92,3389797,98.28,5422064
16,6907235,95.87,4247493,97.12,10844128
24,7377524,93.82,4175579,96.02,16266192
32,7327087,91.79,3930628,94.95,21688256
40,7158452,89.78,3948234,94.14,27110320
48,6978893,87.77,3788326,93.35,32532384
56,6937138,85.78,3837986,91.66,37954448
64,6735847,83.80,3506724,91.21,43376512
72,6635104,81.79,3729924,90.05,48798576
80,6746630,79.90,3637497,89.32,54220640
88,6715714,77.93,3518746,88.29,59642704
96,6311285,76.01,3516106,87.48,65064768
104,10513645,74.05,3585903,87.91,70486832
112,13001654,72.22,3424059,87.13,75908896
120,13379287,70.31,3424279,85.76,81330960
128,13009453,68.32,3485457,85.12,86753024
136,13035819,66.59,3518210,83.41,92175088
144,12568762,64.46,3332494,82.69,97597152
152,12817242,62.58,3355372,81.76,103019216
160,12694000,60.77,3101793,81.86,108441280
168,12785243,58.82,3208514,80.92,113863344
176,12311502,56.88,3388624,80.33,119285408
184,12613627,54.68,3469013,78.94,124707472
192,12579862,52.68,3568667,77.81,130129536
200,12402509,51.23,3387985,76.31,135551600
208,12461714,49.18,3526916,76.22,140973664
216,11999454,47.03,3377544,74.81,146395728
224,12093104,45.42,3581432,74.24,151817792
232,12195591,44.08,3619135,72.29,157239856
240,11906735,42.48,3505023,72.03,162661920
248,11927463,40.47,3262989,72.03,168083984
256,11662388,38.37,3111854,71.95,173506048
264,11735611,37.40,661496,86.82,178928112
272,11662058,35.88,724035,85.16,184350176
280,12134175,34.74,689116,85.80,189772240
288,11328595,32.30,794372,85.22,195194304
296,11409222,30.51,681845,85.83,200616368
304,11294156,28.53,687127,86.25,206038432
312,10707095,27.23,676456,86.15,211460496
320,10919085,24.86,1083982,84.95,216882560
328,11140033,22.86,1040903,85.58,222304624
336,10695475,21.78,675880,86.49,227726688
344,11114198,20.74,683237,86.60,233148752
352,11154885,18.58,671893,85.48,238570816
360,11350449,15.69,942009,85.94,243992880
368,11317390,14.84,676082,86.41,249414944
376,11651042,11.91,680392,86.44,254837008
384,12507408,10.49,700679,86.76,260259072
