tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,2654871,99.73,2430870,99.74,2654871
8,21080866,97.92,19230909,97.92,21238968
16,42255863,95.86,38552355,95.86,42477936
24,63309782,93.79,57940345,93.79,63716904
32,84644711,91.74,77289898,91.74,84955872
40,105739367,89.69,95888006,89.68,106194840
48,127174825,87.65,116439801,87.65,127433808
56,148733530,85.61,135602246,85.60,148672776
64,169731519,83.58,155161844,83.55,169911744
72,190795263,81.56,174194700,81.54,191150712
80,212212565,79.54,192066315,79.50,212389680
88,233000935,77.52,212971823,77.51,233628648
96,254459813,75.51,232058758,75.48,254867616
104,275744377,73.58,251938302,73.49,276106584
112,296762375,71.60,271306794,71.49,297345552
120,318292446,69.63,290728007,69.49,318584520
128,339325814,67.66,309381866,67.50,339823488
136,360445428,65.72,327070211,65.53,361062456
144,382068714,63.77,348469897,63.60,382301424
152,403140922,61.82,368384500,61.59,403540392
160,424062768,59.89,387357805,59.60,424779360
168,445287639,57.97,406546230,57.62,446018328
176,466682500,56.07,426181550,55.66,467257296
184,487360365,54.17,444652722,53.71,488496264
192,508842162,52.28,464183580,51.73,509735232
200,518582698,50.40,473567744,50.02,530974200
208,528451350,48.57,483613157,47.87,552213168
216,537511415,46.71,492565415,45.92,573452136
224,547659648,44.87,500246301,43.92,594691104
232,557571656,43.07,511858600,41.99,615930072
240,567048772,41.17,523057473,40.00,637169040
248,577386046,39.38,534611088,38.21,658408008
256,586937308,37.54,542242473,36.21,679646976
264,597677144,35.74,548322773,34.29,700885944
272,606283844,33.95,563291483,32.38,722124912
280,617498091,32.18,574411642,30.42,743363880
288,626539411,30.43,578573500,28.57,764602848
296,636095911,28.69,593798700,26.79,785841816
304,646104000,26.97,599012258,24.95,807080784
312,656415765,25.28,613340980,23.13,828319752
320,666506538,23.58,614944786,21.23,849558720
328,676463230,21.89,631331416,19.36,870797688
336,686446428,20.18,644325831,17.70,892036656
344,696354866,18.54,645332009,15.80,913275624
352,706573376,16.87,665212686,13.85,934514592
360,715741927,15.21,674962384,12.12,955753560
368,725995628,13.57,680122265,10.18,976992528
376,735550820,11.98,694692323,8.18,998231496
384,745777904,10.38,706361741,6.43,1019470464
