tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,6227306,99.74,5781845,99.74,6227306
8,49816007,97.92,45875273,97.93,49818448
16,99004513,95.86,91934310,95.86,99636896
24,148167924,93.80,137700717,93.79,149455344
32,196939326,91.73,183201783,91.73,199273792
40,246329700,89.69,229357248,89.68,249092240
48,296154199,87.65,274998740,87.62,298910688
56,346138470,85.61,321413734,85.58,348729136
64,395671668,83.58,367261003,83.54,398547584
72,444541646,81.56,413535276,81.50,448366032
80,492962589,79.54,459179277,79.48,498184480
88,544040273,77.53,504595184,77.45,548002928
96,592465761,75.50,550582701,75.42,597821376
104,642400117,73.58,596273303,73.46,647639824
112,691810705,71.60,643389313,71.44,697458272
120,741732221,69.63,689259626,69.42,747276720
128,791257528,67.67,738083433,67.44,797095168
136,841160308,65.72,783106741,65.43,846913616
144,890436633,63.76,829860965,63.46,896732064
152,941011769,61.82,876681504,61.54,946550512
160,990946332,59.89,921198822,59.51,996368960
168,1040065498,57.97,966759900,57.53,1046187408
176,1089898132,56.07,1013336597,55.53,1096005856
184,1137731191,54.17,1059049211,53.59,1145824304
192,1188274659,52.28,1105939838,51.61,1195642752
200,1215471144,50.41,1132802937,49.79,1245461200
208,1245611453,48.56,1156991762,47.71,1295279648
216,1271483146,46.73,1188050971,45.80,1345098096
224,1298634170,44.85,1215030157,43.80,1394916544
232,1328707357,43.02,1242077305,41.83,1444734992
240,1356887695,41.21,1268793527,39.94,1494553440
248,1386252435,39.35,1294709380,37.97,1544371888
256,1414553401,37.55,1323002009,36.08,1594190336
264,1439670895,35.74,1348902023,34.13,1644008784
272,1471454155,33.95,1377005240,32.19,1693827232
280,1500360931,32.19,1404955122,30.33,1743645680
288,1527227794,30.40,1429728253,28.38,1793464128
296,1555166864,28.71,1457927167,26.58,1843282576
304,1584762309,27.01,1481471830,24.97,1893101024
312,1613049518,25.30,1510512848,22.79,1942919472
320,1639079753,23.59,1536213469,20.88,1992737920
328,1665669455,21.88,1565533868,19.03,2042556368
336,1694242576,20.22,1592788451,17.16,2092374816
344,1727720308,18.56,1615904957,15.36,2142193264
352,1752846199,16.89,1642987760,13.37,2192011712
360,1780981792,15.23,1672523732,11.42,2241830160
368,1812096512,13.64,1696134693,9.73,2291648608
376,1837127036,12.00,1725869983,7.84,2341467056
384,1868284721,10.41,1748528590,6.05,2391285504
