tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,3657492,99.74,3496021,99.74,3657492
8,29000872,97.92,28081250,97.92,29259936
16,58106473,95.86,55792971,95.86,58519872
24,87201425,93.80,84031724,93.79,87779808
32,116172514,91.73,111877109,91.73,117039744
40,144679105,89.69,139065741,89.68,146299680
48,174214609,87.64,167179228,87.62,175559616
56,201509421,85.61,194659807,85.58,204819552
64,231035425,83.58,223218892,83.54,234079488
72,260996106,81.55,251298103,81.52,263339424
80,289861468,79.54,277666925,79.48,292599360
88,317644972,77.53,306493217,77.46,321859296
96,348346867,75.50,334819011,75.43,351119232
104,376446529,73.58,361920492,73.45,380379168
112,403741932,71.60,389070770,71.46,409639104
120,432922558,69.63,417610673,69.46,438899040
128,462842305,67.67,445605275,67.47,468158976
136,490575867,65.71,472441805,65.49,497418912
144,520272792,63.77,499709717,63.50,526678848
152,546889329,61.83,527232934,61.52,555938784
160,576924851,59.89,552665826,59.57,585198720
168,606223723,57.98,580102496,57.54,614458656
176,634797979,56.07,611844568,55.61,643718592
184,662461921,54.17,635655234,53.66,672978528
192,690093290,52.29,667512681,51.67,702238464
200,705487707,50.40,679655506,49.82,731498400
208,718855583,48.57,692245455,47.75,760758336
216,733537332,46.72,704321241,45.78,790018272
224,744435525,44.86,713755910,43.84,819278208
232,760687631,43.04,726787390,41.99,848538144
240,772513490,41.18,742463297,40.02,877798080
248,784739407,39.35,755552891,38.12,907058016
256,799491855,37.56,768696713,36.06,936317952
264,812039268,35.75,780857607,34.17,965577888
272,824924184,33.97,789733163,32.49,994837824
280,836343720,32.19,806366051,30.44,1024097760
288,852002909,30.39,817247874,28.44,1053357696
296,865637479,28.71,831281536,26.74,1082617632
304,879058232,26.99,844653777,24.88,1111877568
312,893505376,25.28,850183811,22.99,1141137504
320,906705571,23.59,867846486,21.01,1170397440
328,920467659,21.90,884075240,19.24,1199657376
336,932916902,20.25,896879781,17.22,1228917312
344,945834506,18.57,899074176,15.53,1258177248
352,960304015,16.88,917512346,13.59,1287437184
360,973481732,15.25,935467666,12.04,1316697120
368,987490162,13.59,942867901,9.86,1345957056
376,1000248262,12.01,959473500,8.12,1375216992
384,1013108725,10.39,973542060,6.20,1404476928
