tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,110412512,99.74,115225341,99.74,115225341
8,923606130,97.93,879677640,97.92,921802728
16,1837149684,95.85,1767548913,95.86,1843605456
24,2767660588,93.80,2694861911,93.79,2765408184
32,3704338881,91.74,3608279361,91.73,3687210912
40,4631635001,89.68,4528358911,89.68,4609013640
48,5548195217,87.65,5464990668,87.63,5530816368
56,6453249544,85.61,6358778542,85.57,6452619096
64,7385179198,83.58,7295792849,83.54,7374421824
72,8324677335,81.56,8208684434,81.50,8296224552
80,9234261245,79.54,9117379470,79.46,9218027280
88,10154052107,77.53,10043026816,77.43,10139830008
96,11073215896,75.52,10960249025,75.39,11061632736
104,11984499807,73.57,11886559940,73.43,11983435464
112,12910654548,71.60,12811128180,71.41,12905238192
120,13828008039,69.63,13725404855,69.40,13827040920
128,14767113303,67.67,14688234947,67.40,14748843648
136,15682225819,65.71,15563534279,65.40,15670646376
144,16580671859,63.76,16478395490,63.40,16592449104
152,17519962737,61.82,17386911942,61.41,17514251832
160,18436431679,59.90,18310799679,59.41,18436054560
168,19365053337,57.98,19204303197,57.43,19357857288
176,20282386678,56.07,20132291636,55.45,20279660016
184,21278287242,54.17,21047715060,53.46,21201462744
192,22160809689,52.29,21954945478,51.50,22123265472
200,22696636550,50.41,22408546043,49.54,23045068200
208,23265201083,48.57,22804071665,47.57,23966870928
216,23767424439,46.70,23147745340,45.62,24888673656
224,24323407656,44.86,23505359510,43.69,25810476384
232,24926037963,43.00,23899815698,41.71,26732279112
240,25440915448,41.19,24265216130,39.75,27654081840
248,25997190421,39.37,24657627071,37.79,28575884568
256,26489608517,37.56,25009344069,35.84,29497687296
264,26778852750,35.77,25383748288,33.91,30419490024
272,27141683955,33.96,25771879881,31.98,31341292752
280,27433747229,32.17,26142068894,30.03,32263095480
288,27666316212,30.42,26479028637,28.24,33184898208
296,28219665723,28.68,26877769335,26.34,34106700936
304,28781551839,27.04,27250891390,24.41,35028503664
312,29320933881,25.28,27643799565,22.50,35950306392
320,29884943288,23.59,27997643904,20.58,36872109120
328,30461135629,21.91,28369122078,18.68,37793911848
336,31000462386,20.20,28742002619,16.76,38715714576
344,31560152530,18.57,29107941611,14.88,39637517304
352,32043146762,16.92,29462147448,12.97,40559320032
360,32347570737,15.23,29859319212,11.09,41481122760
368,32642449604,13.64,30229645885,9.22,42402925488
376,33054174170,12.02,30600858803,7.36,43324728216
384,33247246517,10.40,30974519717,5.46,44246530944
