tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,2381795,99.74,2298732,99.73,2381795
8,18682520,97.93,18536157,97.92,19054360
16,38040669,95.86,36935200,95.86,38108720
24,56916920,93.80,55083030,93.78,57163080
32,75729358,91.74,73128069,91.73,76217440
40,94330928,89.69,90857183,89.68,95271800
48,113439841,87.64,109371066,87.62,114326160
56,132144573,85.61,127782388,85.58,133380520
64,150579650,83.58,145599152,83.54,152434880
72,169485818,81.54,163571487,81.51,171489240
80,187730301,79.53,180718901,79.49,190543600
88,205601133,77.52,198770508,77.46,209597960
96,224728190,75.51,217160197,75.43,228652320
104,242524605,73.58,234575498,73.47,247706680
112,260965815,71.59,252067165,71.47,266761040
120,278770709,69.64,268621630,69.48,285815400
128,297098559,67.67,287106051,67.46,304869760
136,314526284,65.71,303796769,65.52,323924120
144,333072391,63.77,321607618,63.55,342978480
152,351051702,61.83,338712011,61.55,362032840
160,368280147,59.90,356447087,59.55,381087200
168,386837488,57.98,372709146,57.60,400141560
176,404821323,56.07,390625891,55.72,419195920
184,421860240,54.18,402681926,53.68,438250280
192,439515867,52.29,420727712,51.73,457304640
200,448176541,50.42,431416045,49.81,476359000
208,457600578,48.58,440535017,47.84,495413360
216,466745071,46.74,448524654,45.94,514467720
224,475292893,44.87,457776851,44.04,533522080
232,484995506,43.04,465614936,42.08,552576440
240,491769697,41.21,475567211,40.16,571630800
248,502500999,39.39,484066379,38.24,590685160
256,511093197,37.59,490845157,36.22,609739520
264,519793698,35.76,499197307,34.31,628793880
272,528187200,33.99,509382230,32.71,647848240
280,536464519,32.18,516922469,30.51,666902600
288,545866949,30.44,523496059,28.58,685956960
296,554301006,28.70,533663439,26.92,705011320
304,562752730,27.00,540634495,24.90,724065680
312,572800556,25.30,549096739,23.04,743120040
320,580806650,23.61,556399811,21.21,762174400
328,589878649,21.92,566010161,19.42,781228760
336,599341413,20.26,575924199,17.67,800283120
344,608697374,18.57,579073471,15.69,819337480
352,616567752,16.92,590746762,13.79,838391840
360,625339600,15.51,597588640,11.93,857446200
368,634146702,13.66,608862765,10.16,876500560
376,643402208,12.05,616827624,8.43,895554920
384,651453475,10.47,623310625,6.75,914609280
