tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,53535,99.95,50545,99.96,53535
8,177674,99.87,172053,99.87,428280
16,252428,99.81,238500,99.81,856560
24,289968,99.78,277723,99.77,1284840
32,312133,99.76,320020,99.73,1713120
40,326493,99.74,328341,99.72,2141400
48,347471,99.72,337031,99.71,2569680
56,346924,99.74,344553,99.70,2997960
64,363448,99.72,362115,99.69,3426240
72,364188,99.72,365515,99.68,3854520
80,375301,99.71,375309,99.68,4282800
88,382617,99.69,384120,99.67,4711080
96,385422,99.70,384161,99.67,5139360
104,387405,99.69,392236,99.62,5567640
112,396894,99.67,398534,99.63,5995920
120,394951,99.67,395691,99.62,6424200
128,401709,99.66,405537,99.60,6852480
136,404876,99.65,404900,99.61,7280760
144,408468,99.64,409369,99.60,7709040
152,410359,99.62,413211,99.58,8137320
160,419330,99.62,418697,99.58,8565600
168,435623,99.61,431713,99.56,8993880
176,427633,99.60,420036,99.58,9422160
184,423359,99.58,417506,99.60,9850440
192,422622,99.57,419233,99.59,10278720
200,427242,99.57,422371,99.59,10707000
208,428194,99.58,424943,99.59,11135280
216,432307,99.56,434144,99.58,11563560
224,442438,99.55,439655,99.57,11991840
232,433292,99.55,430560,99.57,12420120
240,434429,99.55,435602,99.58,12848400
248,434744,99.54,434339,99.57,13276680
256,431562,99.53,432833,99.57,13704960
264,429403,99.53,426656,99.57,14133240
272,423574,99.53,425619,99.56,14561520
280,426495,99.51,435762,99.56,14989800
288,427556,99.51,420612,99.56,15418080
296,419483,99.50,418113,99.56,15846360
304,418014,99.48,421079,99.57,16274640
312,418882,99.49,441731,99.55,16702920
320,429937,99.45,417041,99.56,17131200
328,426281,99.46,418037,99.57,17559480
336,422184,99.45,417260,99.55,17987760
344,413382,99.45,415818,99.56,18416040
352,418796,99.43,417854,99.55,18844320
360,435151,99.41,425000,99.54,19272600
368,412158,99.42,414093,99.55,19700880
376,420132,99.41,414557,99.54,20129160
384,420972,99.41,434901,99.52,20557440
