tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,401950,99.74,407725,99.74,407725
8,3329302,97.92,794760,97.95,3261800
16,6609742,95.86,669876,95.95,6523600
24,9896076,93.80,698045,94.03,9785400
32,13214302,91.73,704249,92.15,13047200
40,16553816,89.70,698540,90.29,16309000
48,19833575,87.67,674192,88.54,19570800
56,23127388,85.65,669747,86.79,22832600
64,26373741,83.63,660552,85.05,26094400
72,29665529,81.62,662310,83.49,29356200
80,32872186,79.62,654684,81.94,32618000
88,36070606,77.64,651471,80.38,35879800
96,38938905,75.54,646897,78.83,39141600
104,41890138,73.74,513090,77.84,42403400
112,44227170,71.79,483659,76.33,45665200
120,46438288,69.82,460506,74.91,48927000
128,48649771,67.88,444212,73.60,52188800
136,50635195,65.94,437932,71.90,55450600
144,52579035,63.98,430236,71.02,58712400
152,54376858,62.03,432366,69.86,61974200
160,55976998,60.07,456751,68.31,65236000
168,57613315,58.14,457576,67.02,68497800
176,59212847,56.17,453803,65.41,71759600
184,60462317,54.18,450924,63.84,75021400
192,62121115,52.32,446827,62.18,78283200
200,63401363,50.49,439980,59.84,81545000
208,64883183,48.77,440490,58.76,84806800
216,66174534,46.92,438929,57.17,88068600
224,67347961,45.01,436331,55.61,91330400
232,68648886,43.29,435414,54.00,94592200
240,70077701,41.49,432053,52.36,97854000
248,71300550,39.71,431333,50.84,101115800
256,72445948,37.95,424785,49.22,104377600
264,73667445,36.21,424665,47.71,107639400
272,74579925,34.52,421958,45.52,110901200
280,75625315,32.81,420380,44.46,114163000
288,76589683,31.13,415377,42.94,117424800
296,77449570,29.42,417988,42.12,120686600
304,79713216,27.65,416676,40.94,123948400
312,81394729,25.84,415258,38.88,127210200
320,82775223,23.86,411491,37.22,130472000
328,84572513,22.10,408061,35.58,133733800
336,86060015,20.24,407189,34.14,136995600
344,87538609,18.38,402783,32.55,140257400
352,88855071,16.63,399439,30.67,143519200
360,90589453,14.62,396323,29.26,146781000
368,91941366,12.69,392930,27.64,150042800
376,93561355,11.10,387890,26.17,153304600
384,94992626,9.19,384558,24.42,156566400
