tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,1343671,99.74,1300691,99.73,1343671
8,10640728,97.93,10041443,97.92,10749368
16,20796165,95.86,20473887,95.86,21498736
24,31455537,93.79,30476420,93.79,32248104
32,41723102,91.74,40090419,91.74,42997472
40,52719429,89.69,50776534,89.70,53746840
48,62497989,87.64,61092444,87.65,64496208
56,73077968,85.61,70371976,85.60,75245576
64,84490014,83.58,80133294,83.59,85994944
72,93432175,81.55,90066586,81.56,96744312
80,104501303,79.54,100679618,79.54,107493680
88,114898628,77.52,111054171,77.50,118243048
96,124195907,75.51,120695291,75.51,128992416
104,135864748,73.58,129519103,73.55,139741784
112,146279012,71.59,140727305,71.59,150491152
120,158216147,69.62,151804455,69.55,161240520
128,167326542,67.67,159518652,67.68,171989888
136,178355127,65.71,169664905,65.66,182739256
144,189155747,63.76,178519401,63.64,193488624
152,197064796,61.83,189602824,61.72,204237992
160,210109991,59.90,200104129,59.68,214987360
168,220492643,57.97,210850588,57.66,225736728
176,228419856,56.07,219280263,55.75,236486096
184,239482118,54.17,230632254,53.83,247235464
192,251186923,52.27,241027015,51.85,257984832
200,257289046,50.40,240881537,50.07,268734200
208,262810794,48.57,250099195,48.02,279483568
216,267012809,46.70,256924411,46.43,290232936
224,274509641,44.87,262341704,44.09,300982304
232,278486201,43.02,268108073,42.17,311731672
240,284620666,41.17,273751376,40.28,322481040
248,290955718,39.34,279785010,38.24,333230408
256,294678820,37.54,285066484,36.41,343979776
264,300771374,35.70,292077088,34.48,354729144
272,306026013,33.93,297151213,32.97,365478512
280,312588895,32.16,302412625,30.65,376227880
288,317690323,30.39,310976172,28.84,386977248
296,324740583,28.69,316395183,27.02,397726616
304,328435047,26.98,321461859,25.50,408475984
312,335114605,25.25,328969795,23.93,419225352
320,339407182,23.53,331237970,22.05,429974720
328,345192053,21.90,339352840,19.99,440724088
336,352226605,20.18,342761546,17.92,451473456
344,357179986,18.54,347159007,16.36,462222824
352,363473039,16.89,354701457,14.45,472972192
360,367982729,15.21,361782440,12.67,483721560
368,373433630,13.58,368792493,10.83,494470928
376,379594257,12.18,373754604,8.99,505220296
384,386892566,10.36,379487896,7.21,515969664
