tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,108547,99.74,107180,99.74,108547
8,578564,97.93,573854,97.93,868376
16,380937,95.86,384547,95.85,1736752
24,352477,93.85,352431,93.86,2605128
32,335962,91.79,334916,91.80,3473504
40,328678,89.74,327563,89.78,4341880
48,324707,87.69,323075,87.73,5210256
56,316669,85.66,315288,85.68,6078632
64,312045,83.64,309986,83.68,6947008
72,308092,81.63,305753,81.70,7815384
80,304052,79.63,301341,79.81,8683760
88,299407,77.63,299283,77.70,9552136
96,297011,75.66,294089,75.72,10420512
104,264099,73.80,260752,73.94,11288888
112,244703,71.88,241958,72.15,12157264
120,231986,69.93,228500,70.04,13025640
128,222733,68.01,219922,68.09,13894016
136,215912,66.07,213273,66.13,14762392
144,210281,64.15,207208,64.20,15630768
152,205982,62.23,203296,62.33,16499144
160,202888,60.35,200163,60.43,17367520
168,200209,58.39,197854,58.37,18235896
176,197400,56.54,194984,56.45,19104272
184,195394,54.60,192939,54.56,19972648
192,193272,52.76,190863,52.60,20841024
200,193935,51.00,191455,51.18,21709400
208,194593,49.42,192433,49.17,22577776
216,195265,47.65,193237,47.14,23446152
224,196000,45.87,193820,45.37,24314528
232,196930,44.16,194500,43.60,25182904
240,197558,42.28,195250,41.72,26051280
248,198274,40.65,195349,39.56,26919656
256,198969,38.79,196579,37.81,27788032
264,199300,37.15,196697,36.14,28656408
272,199737,35.38,197534,34.23,29524784
280,200094,33.77,197882,32.44,30393160
288,201180,32.11,198765,30.54,31261536
296,199223,30.29,197169,28.87,32129912
304,198306,29.19,195550,26.90,32998288
312,196852,27.20,194083,25.13,33866664
320,195141,25.38,192149,23.47,34735040
328,194187,24.00,191565,21.72,35603416
336,192759,21.86,190242,19.94,36471792
344,191344,20.47,189235,18.49,37340168
352,190230,18.89,187826,16.37,38208544
360,189327,17.55,187096,14.50,39076920
368,187943,16.24,186394,13.00,39945296
376,187008,14.59,184712,10.80,40813672
384,185856,12.96,184573,9.45,41682048
