tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,1836511,99.74,1913935,99.73,1913935
8,15392761,97.92,14298018,97.92,15311480
16,29971336,95.86,28544362,95.86,30622960
24,44820042,93.80,41944514,93.79,45934440
32,59353788,91.74,55854277,91.74,61245920
40,73077318,89.69,69455704,89.69,76557400
48,86187872,87.64,83008325,87.64,91868880
56,101102782,85.61,96352210,85.59,107180360
64,116655449,83.58,107645634,83.56,122491840
72,131346599,81.54,121795493,81.54,137803320
80,147073793,79.53,132335174,79.53,153114800
88,160533494,77.52,146347326,77.49,168426280
96,173429090,75.52,157511233,75.48,183737760
104,186981107,73.58,173074601,73.53,199049240
112,198875696,71.59,185261363,71.54,214360720
120,218457648,69.63,201779163,69.56,229672200
128,228883411,67.67,215588552,67.59,244983680
136,246730806,65.70,226827519,65.70,260295160
144,258895894,63.76,237096298,63.63,275606640
152,273052031,61.83,249527494,61.70,290918120
160,286977532,59.90,265745989,59.71,306229600
168,288961631,57.95,278529415,57.83,321541080
176,310427135,56.04,288253284,55.82,336852560
184,322378653,54.16,300658761,53.87,352164040
192,331812839,52.24,313343196,51.94,367475520
200,335947082,50.36,322443885,49.97,382787000
208,352864920,48.60,331286772,48.09,398098480
216,359797593,46.74,340961895,46.25,413409960
224,370272776,44.89,348269234,44.32,428721440
232,374720051,43.06,353484836,42.28,444032920
240,385532029,41.22,364649829,40.21,459344400
248,390025434,39.38,366086454,38.46,474655880
256,400872598,37.57,377856737,36.51,489967360
264,409177034,35.76,387188318,34.72,505278840
272,416467623,33.97,390168237,32.68,520590320
280,421156579,32.16,394901421,31.16,535901800
288,426646821,30.39,402851975,29.07,551213280
296,433124061,28.67,409868573,27.25,566524760
304,444719928,27.08,418327165,25.47,581836240
312,452843209,25.22,426778235,23.57,597147720
320,462102131,23.54,438720030,21.54,612459200
328,468419837,21.88,440116907,19.73,627770680
336,477423960,20.14,448361937,18.07,643082160
344,484917267,18.42,456888281,16.30,658393640
352,493637328,16.76,462689363,14.34,673705120
360,498676231,15.09,466732375,13.35,689016600
368,513599684,13.47,475705537,10.85,704328080
376,518421272,11.82,484210747,8.65,719639560
384,523306209,10.18,488324416,6.92,734951040
