tasks,processes,processes_idle,threads,threads_idle,linear
0,0,100,0,100,0
1,1951492,99.73,1764845,99.74,1951492
8,1601704,97.93,1606336,97.93,15611936
16,804492,95.86,831334,95.85,31223872
24,737939,93.81,761383,93.81,46835808
32,697648,91.76,713103,91.74,62447744
40,683497,89.70,687982,89.67,78059680
48,683697,87.66,668850,87.63,93671616
56,695830,85.63,637192,85.59,109283552
64,677322,83.59,654861,83.56,124895488
72,674204,81.59,667126,81.52,140507424
80,647082,79.55,656314,79.54,156119360
88,622475,77.55,655825,77.55,171731296
96,680929,75.54,656780,75.50,187343232
104,571145,73.59,504116,73.55,202955168
112,489755,71.62,482334,71.57,218567104
120,486067,69.68,480704,69.57,234179040
128,483141,67.68,492688,67.62,249790976
136,482994,65.77,433414,65.69,265402912
144,472706,63.79,496011,63.75,281014848
152,476965,61.90,457910,61.75,296626784
160,481397,59.97,422987,59.81,312238720
168,484709,58.03,487251,57.84,327850656
176,450216,56.10,495147,55.94,343462592
184,482674,54.26,430241,53.97,359074528
192,489951,52.40,466470,52.05,374686464
200,476514,50.53,472700,50.17,390298400
208,453812,48.66,471640,48.18,405910336
216,461781,46.79,466519,46.36,421522272
224,448394,44.95,473174,44.42,437134208
232,456949,43.08,474928,42.54,452746144
240,496574,41.29,499183,40.56,468358080
248,496524,39.46,478225,38.61,483970016
256,502594,37.61,452176,36.33,499581952
264,471715,35.82,484996,34.99,515193888
272,480679,34.02,488653,33.03,530805824
280,506527,32.26,495332,30.88,546417760
288,473251,30.52,480344,29.32,562029696
296,500419,28.80,480566,27.49,577641632
304,463855,27.11,473810,25.71,593253568
312,473833,25.50,479712,23.50,608865504
320,428168,23.62,473522,22.15,624477440
328,472818,22.05,471189,20.17,640089376
336,463428,20.47,461198,18.12,655701312
344,473015,18.61,486617,16.49,671313248
352,426494,16.97,431340,14.81,686925184
360,437051,15.36,467582,12.83,702537120
368,486539,13.71,456370,11.00,718149056
376,474846,12.11,461065,9.05,733760992
384,477178,10.60,469017,7.04,749372928
